,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[29 11]
 [17 34]]","[[28 12]
 [12 39]]","[[29 11]
 [ 8 43]]","[[29 11]
 [ 7 44]]","[[29 11]
 [ 9 42]]","[[30 10]
 [11 40]]","[[31  9]
 [10 41]]","[[21 19]
 [13 38]]","[[32  8]
 [13 38]]"
1,"[[28 12]
 [11 40]]","[[30 10]
 [ 9 42]]","[[33  7]
 [ 4 47]]","[[32  8]
 [ 5 46]]","[[28 12]
 [11 40]]","[[31  9]
 [ 7 44]]","[[33  7]
 [10 41]]","[[27 13]
 [15 36]]","[[33  7]
 [ 5 46]]"
2,"[[25 15]
 [13 38]]","[[27 13]
 [12 39]]","[[26 14]
 [ 9 42]]","[[27 13]
 [10 41]]","[[27 13]
 [23 28]]","[[29 11]
 [10 41]]","[[30 10]
 [11 40]]","[[20 20]
 [ 9 42]]","[[31  9]
 [ 9 42]]"
3,"[[17 23]
 [11 40]]","[[21 19]
 [ 6 45]]","[[26 14]
 [ 5 46]]","[[25 15]
 [ 7 44]]","[[28 12]
 [16 35]]","[[24 16]
 [10 41]]","[[28 12]
 [ 8 43]]","[[19 21]
 [ 8 43]]","[[25 15]
 [10 41]]"
4,"[[23 17]
 [10 41]]","[[23 17]
 [ 9 42]]","[[19 21]
 [ 8 43]]","[[21 19]
 [10 41]]","[[28 12]
 [19 32]]","[[26 14]
 [12 39]]","[[22 18]
 [16 35]]","[[25 15]
 [13 38]]","[[25 15]
 [13 38]]"
5,"[[24 16]
 [21 30]]","[[19 21]
 [ 7 44]]","[[27 13]
 [13 38]]","[[24 16]
 [ 8 43]]","[[18 22]
 [16 35]]","[[24 16]
 [13 38]]","[[27 13]
 [11 40]]","[[21 19]
 [14 37]]","[[29 11]
 [13 38]]"
6,"[[28 12]
 [11 40]]","[[30 10]
 [ 9 42]]","[[33  7]
 [ 4 47]]","[[32  8]
 [ 5 46]]","[[28 12]
 [11 40]]","[[30 10]
 [ 8 43]]","[[33  7]
 [10 41]]","[[27 13]
 [15 36]]","[[33  7]
 [ 4 47]]"
7,"[[27 13]
 [12 39]]","[[29 11]
 [11 40]]","[[25 15]
 [ 6 45]]","[[28 12]
 [ 7 44]]","[[28 12]
 [ 7 44]]","[[32  8]
 [ 6 45]]","[[32  8]
 [13 38]]","[[25 15]
 [15 36]]","[[32  8]
 [ 8 43]]"
8,"[[26 14]
 [11 40]]","[[32  8]
 [10 41]]","[[32  8]
 [12 39]]","[[34  6]
 [13 38]]","[[32  8]
 [12 39]]","[[28 12]
 [11 40]]","[[31  9]
 [ 9 42]]","[[22 18]
 [11 40]]","[[32  8]
 [ 8 43]]"
9,"[[34  6]
 [ 9 42]]","[[33  7]
 [ 9 42]]","[[33  7]
 [11 40]]","[[32  8]
 [10 41]]","[[15 25]
 [ 2 49]]","[[33  7]
 [10 41]]","[[31  9]
 [15 36]]","[[27 13]
 [12 39]]","[[32  8]
 [ 9 42]]"
