,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[20 20]
 [ 7 44]]","[[31  9]
 [ 6 45]]","[[30 10]
 [ 8 43]]","[[31  9]
 [ 8 43]]","[[24 16]
 [ 3 48]]","[[28 12]
 [ 8 43]]","[[28 12]
 [ 8 43]]","[[24 16]
 [ 9 42]]","[[27 13]
 [10 41]]"
1,"[[28 12]
 [10 41]]","[[30 10]
 [ 4 47]]","[[33  7]
 [ 5 46]]","[[33  7]
 [ 5 46]]","[[19 21]
 [10 41]]","[[26 14]
 [ 5 46]]","[[31  9]
 [ 4 47]]","[[26 14]
 [10 41]]","[[28 12]
 [ 5 46]]"
2,"[[26 14]
 [ 6 45]]","[[34  6]
 [ 8 43]]","[[32  8]
 [ 7 44]]","[[29 11]
 [ 9 42]]","[[30 10]
 [10 41]]","[[28 12]
 [ 7 44]]","[[28 12]
 [ 6 45]]","[[23 17]
 [11 40]]","[[29 11]
 [ 4 47]]"
3,"[[22 18]
 [13 38]]","[[28 12]
 [ 6 45]]","[[27 13]
 [ 7 44]]","[[31  9]
 [ 8 43]]","[[28 12]
 [11 40]]","[[29 11]
 [10 41]]","[[32  8]
 [ 6 45]]","[[24 16]
 [10 41]]","[[26 14]
 [ 8 43]]"
4,"[[18 22]
 [ 6 45]]","[[24 16]
 [ 7 44]]","[[28 12]
 [ 8 43]]","[[23 17]
 [ 9 42]]","[[22 18]
 [ 8 43]]","[[27 13]
 [10 41]]","[[22 18]
 [ 8 43]]","[[21 19]
 [ 8 43]]","[[28 12]
 [11 40]]"
5,"[[28 12]
 [ 8 43]]","[[23 17]
 [ 6 45]]","[[27 13]
 [ 8 43]]","[[27 13]
 [ 7 44]]","[[21 19]
 [ 7 44]]","[[27 13]
 [ 9 42]]","[[25 15]
 [ 6 45]]","[[19 21]
 [ 5 46]]","[[27 13]
 [12 39]]"
6,"[[28 12]
 [10 41]]","[[30 10]
 [ 4 47]]","[[33  7]
 [ 5 46]]","[[33  7]
 [ 5 46]]","[[19 21]
 [10 41]]","[[26 14]
 [ 5 46]]","[[31  9]
 [ 4 47]]","[[26 14]
 [10 41]]","[[28 12]
 [ 5 46]]"
7,"[[20 20]
 [ 7 44]]","[[31  9]
 [ 5 46]]","[[32  8]
 [ 9 42]]","[[31  9]
 [ 9 42]]","[[30 10]
 [10 41]]","[[30 10]
 [ 7 44]]","[[29 11]
 [ 7 44]]","[[27 13]
 [ 9 42]]","[[32  8]
 [ 5 46]]"
8,"[[25 15]
 [ 8 43]]","[[35  5]
 [ 4 47]]","[[33  7]
 [ 6 45]]","[[32  8]
 [ 3 48]]","[[36  4]
 [16 35]]","[[34  6]
 [ 4 47]]","[[31  9]
 [ 3 48]]","[[31  9]
 [ 8 43]]","[[34  6]
 [ 5 46]]"
9,"[[26 14]
 [ 6 45]]","[[27 13]
 [ 8 43]]","[[27 13]
 [ 8 43]]","[[27 13]
 [ 8 43]]","[[34  6]
 [18 33]]","[[31  9]
 [10 41]]","[[28 12]
 [11 40]]","[[25 15]
 [10 41]]","[[29 11]
 [ 9 42]]"
