,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[31  9]
 [14 37]]","[[29 11]
 [15 36]]","[[30 10]
 [18 33]]","[[30 10]
 [16 35]]","[[32  8]
 [22 29]]","[[33  7]
 [17 34]]","[[27 13]
 [16 35]]","[[22 18]
 [ 9 42]]","[[33  7]
 [17 34]]"
1,"[[20 20]
 [16 35]]","[[26 14]
 [15 36]]","[[28 12]
 [18 33]]","[[28 12]
 [14 37]]","[[32  8]
 [20 31]]","[[29 11]
 [19 32]]","[[29 11]
 [16 35]]","[[21 19]
 [ 8 43]]","[[27 13]
 [20 31]]"
2,"[[27 13]
 [16 35]]","[[28 12]
 [17 34]]","[[29 11]
 [15 36]]","[[28 12]
 [13 38]]","[[28 12]
 [13 38]]","[[33  7]
 [15 36]]","[[29 11]
 [14 37]]","[[22 18]
 [10 41]]","[[27 13]
 [13 38]]"
3,"[[28 12]
 [16 35]]","[[30 10]
 [16 35]]","[[30 10]
 [17 34]]","[[30 10]
 [13 38]]","[[30 10]
 [14 37]]","[[30 10]
 [14 37]]","[[29 11]
 [14 37]]","[[21 19]
 [ 9 42]]","[[29 11]
 [13 38]]"
4,"[[22 18]
 [ 9 42]]","[[24 16]
 [16 35]]","[[23 17]
 [13 38]]","[[19 21]
 [13 38]]","[[20 20]
 [14 37]]","[[24 16]
 [14 37]]","[[20 20]
 [16 35]]","[[23 17]
 [19 32]]","[[23 17]
 [16 35]]"
5,"[[26 14]
 [16 35]]","[[29 11]
 [17 34]]","[[32  8]
 [15 36]]","[[32  8]
 [15 36]]","[[32  8]
 [17 34]]","[[31  9]
 [20 31]]","[[34  6]
 [22 29]]","[[21 19]
 [10 41]]","[[30 10]
 [20 31]]"
6,"[[20 20]
 [16 35]]","[[26 14]
 [15 36]]","[[28 12]
 [18 33]]","[[28 12]
 [14 37]]","[[32  8]
 [20 31]]","[[28 12]
 [19 32]]","[[29 11]
 [16 35]]","[[21 19]
 [ 8 43]]","[[27 13]
 [20 31]]"
7,"[[29 11]
 [13 38]]","[[25 15]
 [12 39]]","[[28 12]
 [10 41]]","[[28 12]
 [15 36]]","[[29 11]
 [16 35]]","[[34  6]
 [18 33]]","[[33  7]
 [20 31]]","[[21 19]
 [ 9 42]]","[[33  7]
 [18 33]]"
8,"[[27 13]
 [ 9 42]]","[[22 18]
 [12 39]]","[[28 12]
 [18 33]]","[[29 11]
 [15 36]]","[[31  9]
 [17 34]]","[[27 13]
 [16 35]]","[[28 12]
 [15 36]]","[[25 15]
 [10 41]]","[[28 12]
 [14 37]]"
9,"[[23 17]
 [11 40]]","[[27 13]
 [11 40]]","[[28 12]
 [15 36]]","[[29 11]
 [17 34]]","[[25 15]
 [11 40]]","[[30 10]
 [17 34]]","[[32  8]
 [20 31]]","[[24 16]
 [13 38]]","[[32  8]
 [18 33]]"
