,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[26 14]
 [ 9 42]]","[[32  8]
 [ 6 45]]","[[31  9]
 [ 6 45]]","[[32  8]
 [ 5 46]]","[[22 18]
 [ 4 47]]","[[31  9]
 [ 5 46]]","[[27 13]
 [ 6 45]]","[[27 13]
 [ 8 43]]","[[30 10]
 [ 6 45]]"
1,"[[23 17]
 [ 7 44]]","[[16 24]
 [ 5 46]]","[[29 11]
 [ 7 44]]","[[30 10]
 [ 6 45]]","[[29 11]
 [13 38]]","[[29 11]
 [11 40]]","[[27 13]
 [12 39]]","[[22 18]
 [ 8 43]]","[[29 11]
 [12 39]]"
2,"[[25 15]
 [ 5 46]]","[[28 12]
 [ 6 45]]","[[28 12]
 [ 6 45]]","[[31  9]
 [ 3 48]]","[[24 16]
 [ 6 45]]","[[30 10]
 [ 7 44]]","[[31  9]
 [ 4 47]]","[[29 11]
 [11 40]]","[[29 11]
 [ 9 42]]"
3,"[[26 14]
 [ 5 46]]","[[28 12]
 [ 5 46]]","[[32  8]
 [ 7 44]]","[[30 10]
 [ 6 45]]","[[30 10]
 [14 37]]","[[29 11]
 [ 8 43]]","[[31  9]
 [13 38]]","[[25 15]
 [10 41]]","[[32  8]
 [11 40]]"
4,"[[17 23]
 [ 8 43]]","[[20 20]
 [ 4 47]]","[[26 14]
 [ 6 45]]","[[26 14]
 [ 5 46]]","[[23 17]
 [ 8 43]]","[[26 14]
 [ 8 43]]","[[30 10]
 [ 9 42]]","[[25 15]
 [ 9 42]]","[[23 17]
 [ 9 42]]"
5,"[[25 15]
 [ 8 43]]","[[17 23]
 [ 4 47]]","[[23 17]
 [10 41]]","[[29 11]
 [ 5 46]]","[[33  7]
 [14 37]]","[[27 13]
 [ 8 43]]","[[28 12]
 [ 5 46]]","[[23 17]
 [12 39]]","[[27 13]
 [ 8 43]]"
6,"[[23 17]
 [ 7 44]]","[[16 24]
 [ 5 46]]","[[29 11]
 [ 7 44]]","[[30 10]
 [ 6 45]]","[[29 11]
 [13 38]]","[[29 11]
 [11 40]]","[[27 13]
 [12 39]]","[[22 18]
 [ 8 43]]","[[29 11]
 [12 39]]"
7,"[[26 14]
 [ 4 47]]","[[33  7]
 [ 4 47]]","[[33  7]
 [ 6 45]]","[[31  9]
 [ 5 46]]","[[26 14]
 [ 8 43]]","[[32  8]
 [ 7 44]]","[[25 15]
 [ 7 44]]","[[25 15]
 [11 40]]","[[28 12]
 [ 8 43]]"
8,"[[25 15]
 [10 41]]","[[30 10]
 [ 8 43]]","[[26 14]
 [ 9 42]]","[[31  9]
 [ 8 43]]","[[30 10]
 [10 41]]","[[32  8]
 [10 41]]","[[30 10]
 [10 41]]","[[28 12]
 [10 41]]","[[29 11]
 [11 40]]"
9,"[[25 15]
 [ 9 42]]","[[25 15]
 [ 5 46]]","[[26 14]
 [ 3 48]]","[[29 11]
 [ 8 43]]","[[34  6]
 [15 36]]","[[30 10]
 [ 7 44]]","[[25 15]
 [ 9 42]]","[[24 16]
 [ 8 43]]","[[29 11]
 [ 6 45]]"
