,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[27 13]
 [14 37]]","[[29 11]
 [ 9 42]]","[[30 10]
 [12 39]]","[[31  9]
 [11 40]]","[[15 25]
 [ 9 42]]","[[34  6]
 [12 39]]","[[34  6]
 [10 41]]","[[24 16]
 [ 8 43]]","[[37  3]
 [13 38]]"
1,"[[20 20]
 [15 36]]","[[23 17]
 [ 9 42]]","[[29 11]
 [15 36]]","[[31  9]
 [12 39]]","[[32  8]
 [18 33]]","[[28 12]
 [13 38]]","[[24 16]
 [15 36]]","[[19 21]
 [12 39]]","[[25 15]
 [11 40]]"
2,"[[28 12]
 [11 40]]","[[30 10]
 [11 40]]","[[32  8]
 [ 9 42]]","[[32  8]
 [10 41]]","[[26 14]
 [ 9 42]]","[[31  9]
 [11 40]]","[[26 14]
 [10 41]]","[[29 11]
 [ 8 43]]","[[28 12]
 [ 8 43]]"
3,"[[27 13]
 [13 38]]","[[29 11]
 [13 38]]","[[30 10]
 [14 37]]","[[31  9]
 [12 39]]","[[30 10]
 [15 36]]","[[28 12]
 [13 38]]","[[28 12]
 [ 8 43]]","[[23 17]
 [10 41]]","[[29 11]
 [13 38]]"
4,"[[26 14]
 [14 37]]","[[21 19]
 [ 9 42]]","[[28 12]
 [13 38]]","[[27 13]
 [ 9 42]]","[[24 16]
 [16 35]]","[[27 13]
 [13 38]]","[[22 18]
 [12 39]]","[[27 13]
 [13 38]]","[[26 14]
 [14 37]]"
5,"[[26 14]
 [11 40]]","[[17 23]
 [ 8 43]]","[[28 12]
 [16 35]]","[[27 13]
 [15 36]]","[[35  5]
 [14 37]]","[[29 11]
 [11 40]]","[[29 11]
 [11 40]]","[[21 19]
 [14 37]]","[[26 14]
 [ 9 42]]"
6,"[[20 20]
 [15 36]]","[[23 17]
 [ 9 42]]","[[29 11]
 [15 36]]","[[31  9]
 [12 39]]","[[32  8]
 [18 33]]","[[28 12]
 [12 39]]","[[24 16]
 [15 36]]","[[19 21]
 [12 39]]","[[25 15]
 [11 40]]"
7,"[[29 11]
 [11 40]]","[[29 11]
 [10 41]]","[[29 11]
 [12 39]]","[[30 10]
 [10 41]]","[[18 22]
 [ 8 43]]","[[34  6]
 [14 37]]","[[28 12]
 [14 37]]","[[23 17]
 [ 7 44]]","[[35  5]
 [13 38]]"
8,"[[30 10]
 [14 37]]","[[30 10]
 [11 40]]","[[30 10]
 [11 40]]","[[33  7]
 [11 40]]","[[25 15]
 [16 35]]","[[32  8]
 [12 39]]","[[26 14]
 [12 39]]","[[27 13]
 [12 39]]","[[26 14]
 [ 9 42]]"
9,"[[24 16]
 [20 31]]","[[22 18]
 [17 34]]","[[27 13]
 [17 34]]","[[25 15]
 [17 34]]","[[26 14]
 [26 25]]","[[29 11]
 [15 36]]","[[24 16]
 [14 37]]","[[22 18]
 [19 32]]","[[26 14]
 [12 39]]"
