,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[23 17]
 [ 7 44]]","[[31  9]
 [ 5 46]]","[[29 11]
 [ 8 43]]","[[28 12]
 [ 7 44]]","[[34  6]
 [12 39]]","[[30 10]
 [ 8 43]]","[[31  9]
 [ 8 43]]","[[27 13]
 [11 40]]","[[31  9]
 [ 7 44]]"
1,"[[23 17]
 [ 7 44]]","[[18 22]
 [ 6 45]]","[[32  8]
 [ 7 44]]","[[32  8]
 [ 9 42]]","[[23 17]
 [14 37]]","[[29 11]
 [12 39]]","[[23 17]
 [ 7 44]]","[[22 18]
 [ 8 43]]","[[26 14]
 [ 9 42]]"
2,"[[25 15]
 [ 5 46]]","[[27 13]
 [ 3 48]]","[[28 12]
 [ 7 44]]","[[30 10]
 [ 4 47]]","[[21 19]
 [ 4 47]]","[[31  9]
 [ 6 45]]","[[28 12]
 [ 7 44]]","[[28 12]
 [11 40]]","[[28 12]
 [ 6 45]]"
3,"[[26 14]
 [ 5 46]]","[[26 14]
 [ 6 45]]","[[29 11]
 [ 8 43]]","[[30 10]
 [ 5 46]]","[[36  4]
 [18 33]]","[[29 11]
 [ 9 42]]","[[32  8]
 [10 41]]","[[26 14]
 [11 40]]","[[29 11]
 [ 7 44]]"
4,"[[21 19]
 [ 9 42]]","[[22 18]
 [ 5 46]]","[[24 16]
 [ 7 44]]","[[25 15]
 [ 6 45]]","[[21 19]
 [ 8 43]]","[[23 17]
 [ 8 43]]","[[21 19]
 [ 8 43]]","[[27 13]
 [ 8 43]]","[[26 14]
 [ 8 43]]"
5,"[[24 16]
 [ 7 44]]","[[19 21]
 [ 3 48]]","[[21 19]
 [ 7 44]]","[[27 13]
 [ 5 46]]","[[29 11]
 [12 39]]","[[27 13]
 [ 8 43]]","[[28 12]
 [ 8 43]]","[[23 17]
 [12 39]]","[[29 11]
 [ 6 45]]"
6,"[[23 17]
 [ 7 44]]","[[18 22]
 [ 6 45]]","[[32  8]
 [ 7 44]]","[[32  8]
 [ 9 42]]","[[23 17]
 [14 37]]","[[29 11]
 [12 39]]","[[23 17]
 [ 9 42]]","[[22 18]
 [ 8 43]]","[[27 13]
 [10 41]]"
7,"[[28 12]
 [ 7 44]]","[[31  9]
 [ 4 47]]","[[32  8]
 [ 5 46]]","[[32  8]
 [ 5 46]]","[[27 13]
 [10 41]]","[[30 10]
 [ 7 44]]","[[27 13]
 [ 3 48]]","[[24 16]
 [11 40]]","[[30 10]
 [ 6 45]]"
8,"[[24 16]
 [11 40]]","[[31  9]
 [ 8 43]]","[[30 10]
 [ 9 42]]","[[32  8]
 [ 9 42]]","[[28 12]
 [12 39]]","[[30 10]
 [11 40]]","[[30 10]
 [10 41]]","[[28 12]
 [10 41]]","[[30 10]
 [ 9 42]]"
9,"[[26 14]
 [ 9 42]]","[[24 16]
 [ 4 47]]","[[27 13]
 [ 6 45]]","[[31  9]
 [ 8 43]]","[[21 19]
 [ 6 45]]","[[31  9]
 [ 8 43]]","[[26 14]
 [ 9 42]]","[[25 15]
 [ 9 42]]","[[29 11]
 [ 8 43]]"
