,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[30 10]
 [14 37]]","[[29 11]
 [12 39]]","[[33  7]
 [10 41]]","[[33  7]
 [12 39]]","[[18 22]
 [11 40]]","[[33  7]
 [16 35]]","[[28 12]
 [13 38]]","[[23 17]
 [12 39]]","[[33  7]
 [14 37]]"
1,"[[23 17]
 [14 37]]","[[23 17]
 [ 8 43]]","[[32  8]
 [10 41]]","[[31  9]
 [ 8 43]]","[[26 14]
 [11 40]]","[[27 13]
 [15 36]]","[[27 13]
 [12 39]]","[[21 19]
 [10 41]]","[[29 11]
 [18 33]]"
2,"[[27 13]
 [12 39]]","[[29 11]
 [11 40]]","[[31  9]
 [ 9 42]]","[[30 10]
 [11 40]]","[[31  9]
 [12 39]]","[[30 10]
 [14 37]]","[[29 11]
 [ 9 42]]","[[26 14]
 [15 36]]","[[30 10]
 [ 8 43]]"
3,"[[31  9]
 [16 35]]","[[23 17]
 [ 8 43]]","[[31  9]
 [10 41]]","[[32  8]
 [11 40]]","[[27 13]
 [14 37]]","[[32  8]
 [13 38]]","[[30 10]
 [11 40]]","[[21 19]
 [ 8 43]]","[[33  7]
 [11 40]]"
4,"[[23 17]
 [16 35]]","[[24 16]
 [ 8 43]]","[[27 13]
 [11 40]]","[[28 12]
 [14 37]]","[[19 21]
 [ 6 45]]","[[27 13]
 [11 40]]","[[25 15]
 [15 36]]","[[23 17]
 [12 39]]","[[28 12]
 [11 40]]"
5,"[[25 15]
 [12 39]]","[[12 28]
 [ 5 46]]","[[23 17]
 [15 36]]","[[26 14]
 [15 36]]","[[26 14]
 [18 33]]","[[30 10]
 [12 39]]","[[26 14]
 [10 41]]","[[15 25]
 [ 7 44]]","[[29 11]
 [11 40]]"
6,"[[23 17]
 [14 37]]","[[23 17]
 [ 8 43]]","[[32  8]
 [10 41]]","[[31  9]
 [ 8 43]]","[[26 14]
 [11 40]]","[[27 13]
 [15 36]]","[[27 13]
 [12 39]]","[[21 19]
 [10 41]]","[[29 11]
 [18 33]]"
7,"[[27 13]
 [14 37]]","[[28 12]
 [12 39]]","[[34  6]
 [10 41]]","[[32  8]
 [11 40]]","[[32  8]
 [19 32]]","[[33  7]
 [16 35]]","[[31  9]
 [ 9 42]]","[[24 16]
 [11 40]]","[[31  9]
 [13 38]]"
8,"[[20 20]
 [14 37]]","[[21 19]
 [ 9 42]]","[[26 14]
 [ 8 43]]","[[25 15]
 [10 41]]","[[35  5]
 [20 31]]","[[27 13]
 [10 41]]","[[23 17]
 [11 40]]","[[24 16]
 [10 41]]","[[24 16]
 [ 9 42]]"
9,"[[23 17]
 [10 41]]","[[22 18]
 [10 41]]","[[24 16]
 [ 9 42]]","[[28 12]
 [11 40]]","[[34  6]
 [23 28]]","[[29 11]
 [11 40]]","[[29 11]
 [15 36]]","[[26 14]
 [15 36]]","[[29 11]
 [ 9 42]]"
