,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[26 14]
 [10 41]]","[[25 15]
 [ 7 44]]","[[30 10]
 [10 41]]","[[29 11]
 [12 39]]","[[32  8]
 [19 32]]","[[30 10]
 [14 37]]","[[29 11]
 [12 39]]","[[17 23]
 [ 6 45]]","[[29 11]
 [15 36]]"
1,"[[23 17]
 [11 40]]","[[20 20]
 [ 5 46]]","[[26 14]
 [ 7 44]]","[[27 13]
 [ 7 44]]","[[32  8]
 [16 35]]","[[29 11]
 [10 41]]","[[25 15]
 [ 8 43]]","[[17 23]
 [ 6 45]]","[[25 15]
 [ 6 45]]"
2,"[[31  9]
 [13 38]]","[[29 11]
 [ 9 42]]","[[30 10]
 [11 40]]","[[32  8]
 [ 8 43]]","[[23 17]
 [ 6 45]]","[[26 14]
 [12 39]]","[[29 11]
 [ 9 42]]","[[17 23]
 [ 6 45]]","[[26 14]
 [10 41]]"
3,"[[27 13]
 [ 7 44]]","[[29 11]
 [10 41]]","[[30 10]
 [12 39]]","[[32  8]
 [10 41]]","[[30 10]
 [12 39]]","[[29 11]
 [ 8 43]]","[[28 12]
 [ 9 42]]","[[17 23]
 [ 6 45]]","[[29 11]
 [ 6 45]]"
4,"[[18 22]
 [12 39]]","[[14 26]
 [12 39]]","[[15 25]
 [10 41]]","[[13 27]
 [ 9 42]]","[[14 26]
 [13 38]]","[[19 21]
 [12 39]]","[[17 23]
 [13 38]]","[[12 28]
 [16 35]]","[[15 25]
 [10 41]]"
5,"[[32  8]
 [ 8 43]]","[[20 20]
 [ 6 45]]","[[26 14]
 [ 7 44]]","[[28 12]
 [ 5 46]]","[[27 13]
 [ 7 44]]","[[30 10]
 [ 9 42]]","[[29 11]
 [10 41]]","[[14 26]
 [ 7 44]]","[[26 14]
 [ 8 43]]"
6,"[[23 17]
 [11 40]]","[[20 20]
 [ 5 46]]","[[26 14]
 [ 7 44]]","[[27 13]
 [ 7 44]]","[[32  8]
 [16 35]]","[[28 12]
 [10 41]]","[[25 15]
 [ 8 43]]","[[17 23]
 [ 6 45]]","[[25 15]
 [ 6 45]]"
7,"[[26 14]
 [ 8 43]]","[[22 18]
 [ 6 45]]","[[29 11]
 [11 40]]","[[29 11]
 [ 9 42]]","[[27 13]
 [ 9 42]]","[[30 10]
 [11 40]]","[[27 13]
 [12 39]]","[[18 22]
 [ 6 45]]","[[25 15]
 [13 38]]"
8,"[[25 15]
 [12 39]]","[[18 22]
 [11 40]]","[[20 20]
 [11 40]]","[[21 19]
 [ 8 43]]","[[25 15]
 [10 41]]","[[22 18]
 [ 7 44]]","[[19 21]
 [ 7 44]]","[[16 24]
 [ 7 44]]","[[22 18]
 [ 6 45]]"
9,"[[17 23]
 [13 38]]","[[21 19]
 [ 8 43]]","[[21 19]
 [ 9 42]]","[[21 19]
 [ 9 42]]","[[27 13]
 [14 37]]","[[25 15]
 [10 41]]","[[26 14]
 [10 41]]","[[19 21]
 [ 7 44]]","[[25 15]
 [11 40]]"
