,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[22 18]
 [16 35]]","[[27 13]
 [19 32]]","[[30 10]
 [16 35]]","[[30 10]
 [18 33]]","[[29 11]
 [21 30]]","[[28 12]
 [16 35]]","[[32  8]
 [16 35]]","[[18 22]
 [10 41]]","[[30 10]
 [15 36]]"
1,"[[23 17]
 [16 35]]","[[27 13]
 [13 38]]","[[27 13]
 [16 35]]","[[24 16]
 [14 37]]","[[30 10]
 [21 30]]","[[26 14]
 [16 35]]","[[22 18]
 [16 35]]","[[16 24]
 [ 8 43]]","[[25 15]
 [16 35]]"
2,"[[25 15]
 [13 38]]","[[26 14]
 [14 37]]","[[30 10]
 [16 35]]","[[27 13]
 [17 34]]","[[31  9]
 [22 29]]","[[27 13]
 [18 33]]","[[31  9]
 [18 33]]","[[17 23]
 [10 41]]","[[26 14]
 [14 37]]"
3,"[[25 15]
 [18 33]]","[[25 15]
 [22 29]]","[[29 11]
 [20 31]]","[[29 11]
 [16 35]]","[[26 14]
 [23 28]]","[[26 14]
 [14 37]]","[[29 11]
 [22 29]]","[[19 21]
 [ 9 42]]","[[26 14]
 [18 33]]"
4,"[[19 21]
 [20 31]]","[[21 19]
 [14 37]]","[[21 19]
 [15 36]]","[[24 16]
 [15 36]]","[[21 19]
 [12 39]]","[[26 14]
 [17 34]]","[[22 18]
 [14 37]]","[[19 21]
 [15 36]]","[[22 18]
 [18 33]]"
5,"[[27 13]
 [18 33]]","[[25 15]
 [17 34]]","[[26 14]
 [14 37]]","[[29 11]
 [13 38]]","[[31  9]
 [16 35]]","[[29 11]
 [17 34]]","[[28 12]
 [15 36]]","[[20 20]
 [12 39]]","[[26 14]
 [16 35]]"
6,"[[23 17]
 [16 35]]","[[27 13]
 [13 38]]","[[27 13]
 [16 35]]","[[24 16]
 [14 37]]","[[30 10]
 [21 30]]","[[25 15]
 [16 35]]","[[22 18]
 [16 35]]","[[16 24]
 [ 8 43]]","[[25 15]
 [16 35]]"
7,"[[26 14]
 [15 36]]","[[24 16]
 [17 34]]","[[30 10]
 [16 35]]","[[31  9]
 [16 35]]","[[30 10]
 [20 31]]","[[34  6]
 [14 37]]","[[31  9]
 [19 32]]","[[17 23]
 [ 9 42]]","[[30 10]
 [14 37]]"
8,"[[26 14]
 [12 39]]","[[24 16]
 [13 38]]","[[25 15]
 [16 35]]","[[27 13]
 [17 34]]","[[34  6]
 [21 30]]","[[31  9]
 [15 36]]","[[29 11]
 [20 31]]","[[20 20]
 [12 39]]","[[29 11]
 [15 36]]"
9,"[[20 20]
 [17 34]]","[[21 19]
 [15 36]]","[[26 14]
 [16 35]]","[[26 14]
 [18 33]]","[[23 17]
 [18 33]]","[[26 14]
 [18 33]]","[[21 19]
 [16 35]]","[[20 20]
 [13 38]]","[[24 16]
 [17 34]]"
