,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[26 14]
 [11 40]]","[[29 11]
 [11 40]]","[[31  9]
 [12 39]]","[[32  8]
 [13 38]]","[[16 24]
 [ 9 42]]","[[30 10]
 [12 39]]","[[29 11]
 [14 37]]","[[25 15]
 [ 8 43]]","[[30 10]
 [11 40]]"
1,"[[19 21]
 [12 39]]","[[25 15]
 [10 41]]","[[29 11]
 [11 40]]","[[29 11]
 [10 41]]","[[26 14]
 [17 34]]","[[29 11]
 [14 37]]","[[22 18]
 [12 39]]","[[20 20]
 [13 38]]","[[25 15]
 [14 37]]"
2,"[[28 12]
 [11 40]]","[[28 12]
 [ 9 42]]","[[29 11]
 [10 41]]","[[31  9]
 [11 40]]","[[28 12]
 [10 41]]","[[32  8]
 [12 39]]","[[27 13]
 [10 41]]","[[27 13]
 [ 8 43]]","[[29 11]
 [11 40]]"
3,"[[30 10]
 [11 40]]","[[28 12]
 [13 38]]","[[29 11]
 [16 35]]","[[30 10]
 [14 37]]","[[32  8]
 [14 37]]","[[30 10]
 [14 37]]","[[30 10]
 [12 39]]","[[22 18]
 [11 40]]","[[32  8]
 [15 36]]"
4,"[[27 13]
 [15 36]]","[[22 18]
 [14 37]]","[[28 12]
 [11 40]]","[[28 12]
 [13 38]]","[[25 15]
 [19 32]]","[[27 13]
 [13 38]]","[[22 18]
 [13 38]]","[[27 13]
 [13 38]]","[[26 14]
 [15 36]]"
5,"[[21 19]
 [11 40]]","[[19 21]
 [ 7 44]]","[[30 10]
 [11 40]]","[[28 12]
 [ 9 42]]","[[29 11]
 [13 38]]","[[29 11]
 [12 39]]","[[29 11]
 [12 39]]","[[21 19]
 [14 37]]","[[26 14]
 [11 40]]"
6,"[[19 21]
 [12 39]]","[[25 15]
 [10 41]]","[[29 11]
 [11 40]]","[[29 11]
 [10 41]]","[[26 14]
 [17 34]]","[[28 12]
 [13 38]]","[[22 18]
 [12 39]]","[[20 20]
 [13 38]]","[[25 15]
 [14 37]]"
7,"[[29 11]
 [11 40]]","[[28 12]
 [ 9 42]]","[[27 13]
 [12 39]]","[[29 11]
 [12 39]]","[[21 19]
 [ 7 44]]","[[33  7]
 [13 38]]","[[28 12]
 [12 39]]","[[22 18]
 [ 7 44]]","[[31  9]
 [14 37]]"
8,"[[30 10]
 [12 39]]","[[30 10]
 [10 41]]","[[27 13]
 [10 41]]","[[30 10]
 [11 40]]","[[25 15]
 [14 37]]","[[30 10]
 [14 37]]","[[23 17]
 [16 35]]","[[29 11]
 [12 39]]","[[31  9]
 [13 38]]"
9,"[[24 16]
 [20 31]]","[[25 15]
 [17 34]]","[[26 14]
 [17 34]]","[[27 13]
 [18 33]]","[[29 11]
 [26 25]]","[[30 10]
 [19 32]]","[[26 14]
 [18 33]]","[[23 17]
 [20 31]]","[[28 12]
 [17 34]]"
