,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[28 12]
 [ 8 43]]","[[31  9]
 [ 4 47]]","[[30 10]
 [ 3 48]]","[[28 12]
 [ 4 47]]","[[23 17]
 [ 3 48]]","[[27 13]
 [ 5 46]]","[[27 13]
 [ 9 42]]","[[23 17]
 [10 41]]","[[30 10]
 [ 3 48]]"
1,"[[26 14]
 [ 9 42]]","[[31  9]
 [ 2 49]]","[[35  5]
 [ 3 48]]","[[34  6]
 [ 4 47]]","[[22 18]
 [ 6 45]]","[[34  6]
 [ 4 47]]","[[30 10]
 [ 8 43]]","[[25 15]
 [ 5 46]]","[[33  7]
 [ 6 45]]"
2,"[[20 20]
 [ 7 44]]","[[31  9]
 [ 3 48]]","[[31  9]
 [ 4 47]]","[[30 10]
 [ 5 46]]","[[29 11]
 [14 37]]","[[32  8]
 [ 5 46]]","[[30 10]
 [ 8 43]]","[[23 17]
 [ 8 43]]","[[34  6]
 [ 7 44]]"
3,"[[21 19]
 [11 40]]","[[27 13]
 [ 5 46]]","[[30 10]
 [ 7 44]]","[[31  9]
 [ 8 43]]","[[25 15]
 [12 39]]","[[25 15]
 [10 41]]","[[27 13]
 [ 8 43]]","[[10 30]
 [11 40]]","[[29 11]
 [14 37]]"
4,"[[21 19]
 [12 39]]","[[24 16]
 [10 41]]","[[31  9]
 [14 37]]","[[25 15]
 [15 36]]","[[23 17]
 [17 34]]","[[27 13]
 [13 38]]","[[24 16]
 [14 37]]","[[21 19]
 [14 37]]","[[26 14]
 [13 38]]"
5,"[[20 20]
 [ 8 43]]","[[18 22]
 [ 7 44]]","[[23 17]
 [14 37]]","[[22 18]
 [11 40]]","[[19 21]
 [12 39]]","[[22 18]
 [ 9 42]]","[[20 20]
 [ 8 43]]","[[13 27]
 [12 39]]","[[23 17]
 [10 41]]"
6,"[[26 14]
 [ 9 42]]","[[31  9]
 [ 2 49]]","[[35  5]
 [ 3 48]]","[[34  6]
 [ 4 47]]","[[22 18]
 [ 6 45]]","[[34  6]
 [ 4 47]]","[[30 10]
 [ 8 43]]","[[25 15]
 [ 5 46]]","[[33  7]
 [ 6 45]]"
7,"[[22 18]
 [ 8 43]]","[[32  8]
 [ 3 48]]","[[31  9]
 [ 2 49]]","[[30 10]
 [ 2 49]]","[[22 18]
 [ 3 48]]","[[29 11]
 [ 3 48]]","[[26 14]
 [ 6 45]]","[[24 16]
 [11 40]]","[[28 12]
 [ 3 48]]"
8,"[[22 18]
 [ 9 42]]","[[27 13]
 [11 40]]","[[31  9]
 [ 8 43]]","[[30 10]
 [ 8 43]]","[[29 11]
 [18 33]]","[[31  9]
 [ 9 42]]","[[30 10]
 [ 8 43]]","[[23 17]
 [15 36]]","[[33  7]
 [10 41]]"
9,"[[28 12]
 [ 6 45]]","[[28 12]
 [ 7 44]]","[[32  8]
 [ 8 43]]","[[34  6]
 [ 9 42]]","[[36  4]
 [14 37]]","[[31  9]
 [ 5 46]]","[[30 10]
 [10 41]]","[[24 16]
 [10 41]]","[[28 12]
 [ 3 48]]"
