,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[23 17]
 [11 40]]","[[30 10]
 [ 9 42]]","[[34  6]
 [ 8 43]]","[[30 10]
 [ 8 43]]","[[26 14]
 [14 37]]","[[31  9]
 [11 40]]","[[28 12]
 [11 40]]","[[24 16]
 [ 8 43]]","[[32  8]
 [ 8 43]]"
1,"[[23 17]
 [ 7 44]]","[[26 14]
 [ 4 47]]","[[31  9]
 [ 7 44]]","[[33  7]
 [ 8 43]]","[[24 16]
 [15 36]]","[[31  9]
 [ 7 44]]","[[28 12]
 [ 8 43]]","[[21 19]
 [11 40]]","[[31  9]
 [ 5 46]]"
2,"[[27 13]
 [ 7 44]]","[[30 10]
 [ 6 45]]","[[31  9]
 [ 8 43]]","[[31  9]
 [ 7 44]]","[[26 14]
 [ 9 42]]","[[31  9]
 [12 39]]","[[28 12]
 [10 41]]","[[23 17]
 [ 7 44]]","[[32  8]
 [ 9 42]]"
3,"[[29 11]
 [10 41]]","[[26 14]
 [ 4 47]]","[[32  8]
 [ 4 47]]","[[30 10]
 [ 5 46]]","[[23 17]
 [11 40]]","[[26 14]
 [ 7 44]]","[[27 13]
 [10 41]]","[[14 26]
 [ 8 43]]","[[29 11]
 [ 8 43]]"
4,"[[22 18]
 [10 41]]","[[20 20]
 [ 5 46]]","[[23 17]
 [ 8 43]]","[[22 18]
 [ 7 44]]","[[20 20]
 [ 7 44]]","[[23 17]
 [ 7 44]]","[[24 16]
 [12 39]]","[[24 16]
 [10 41]]","[[25 15]
 [10 41]]"
5,"[[25 15]
 [ 7 44]]","[[12 28]
 [ 4 47]]","[[17 23]
 [ 5 46]]","[[21 19]
 [ 7 44]]","[[23 17]
 [13 38]]","[[26 14]
 [ 5 46]]","[[24 16]
 [ 8 43]]","[[17 23]
 [10 41]]","[[24 16]
 [ 4 47]]"
6,"[[23 17]
 [ 7 44]]","[[26 14]
 [ 4 47]]","[[31  9]
 [ 7 44]]","[[33  7]
 [ 8 43]]","[[24 16]
 [15 36]]","[[32  8]
 [ 7 44]]","[[28 12]
 [ 8 43]]","[[21 19]
 [11 40]]","[[32  8]
 [ 6 45]]"
7,"[[25 15]
 [10 41]]","[[30 10]
 [ 7 44]]","[[32  8]
 [ 9 42]]","[[33  7]
 [10 41]]","[[20 20]
 [ 9 42]]","[[32  8]
 [11 40]]","[[27 13]
 [10 41]]","[[26 14]
 [10 41]]","[[30 10]
 [14 37]]"
8,"[[22 18]
 [ 9 42]]","[[26 14]
 [ 9 42]]","[[30 10]
 [10 41]]","[[26 14]
 [ 5 46]]","[[25 15]
 [ 8 43]]","[[30 10]
 [ 6 45]]","[[26 14]
 [13 38]]","[[28 12]
 [ 8 43]]","[[28 12]
 [ 6 45]]"
9,"[[28 12]
 [ 8 43]]","[[26 14]
 [ 8 43]]","[[31  9]
 [10 41]]","[[28 12]
 [ 7 44]]","[[34  6]
 [15 36]]","[[32  8]
 [11 40]]","[[28 12]
 [13 38]]","[[25 15]
 [10 41]]","[[29 11]
 [11 40]]"
