,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[22 18]
 [ 8 43]]","[[22 18]
 [ 8 43]]","[[25 15]
 [ 9 42]]","[[26 14]
 [10 41]]","[[19 21]
 [ 7 44]]","[[25 15]
 [10 41]]","[[26 14]
 [12 39]]","[[17 23]
 [12 39]]","[[25 15]
 [ 8 43]]"
1,"[[22 18]
 [ 9 42]]","[[26 14]
 [10 41]]","[[28 12]
 [ 6 45]]","[[31  9]
 [ 3 48]]","[[29 11]
 [15 36]]","[[29 11]
 [ 7 44]]","[[28 12]
 [ 6 45]]","[[18 22]
 [13 38]]","[[28 12]
 [ 7 44]]"
2,"[[20 20]
 [ 5 46]]","[[24 16]
 [11 40]]","[[26 14]
 [10 41]]","[[25 15]
 [11 40]]","[[16 24]
 [12 39]]","[[25 15]
 [10 41]]","[[26 14]
 [ 8 43]]","[[18 22]
 [ 9 42]]","[[26 14]
 [11 40]]"
3,"[[25 15]
 [17 34]]","[[20 20]
 [ 8 43]]","[[30 10]
 [ 9 42]]","[[32  8]
 [ 8 43]]","[[29 11]
 [18 33]]","[[32  8]
 [13 38]]","[[29 11]
 [12 39]]","[[10 30]
 [ 8 43]]","[[32  8]
 [11 40]]"
4,"[[23 17]
 [11 40]]","[[22 18]
 [12 39]]","[[21 19]
 [14 37]]","[[23 17]
 [13 38]]","[[27 13]
 [18 33]]","[[19 21]
 [10 41]]","[[19 21]
 [13 38]]","[[21 19]
 [16 35]]","[[22 18]
 [13 38]]"
5,"[[22 18]
 [14 37]]","[[19 21]
 [10 41]]","[[18 22]
 [13 38]]","[[19 21]
 [12 39]]","[[14 26]
 [10 41]]","[[27 13]
 [13 38]]","[[21 19]
 [16 35]]","[[15 25]
 [11 40]]","[[26 14]
 [14 37]]"
6,"[[22 18]
 [ 9 42]]","[[26 14]
 [10 41]]","[[28 12]
 [ 6 45]]","[[31  9]
 [ 3 48]]","[[29 11]
 [15 36]]","[[29 11]
 [ 6 45]]","[[28 12]
 [ 6 45]]","[[18 22]
 [13 38]]","[[28 12]
 [ 7 44]]"
7,"[[21 19]
 [ 9 42]]","[[25 15]
 [ 9 42]]","[[28 12]
 [ 9 42]]","[[28 12]
 [ 9 42]]","[[22 18]
 [ 7 44]]","[[25 15]
 [10 41]]","[[28 12]
 [11 40]]","[[18 22]
 [11 40]]","[[27 13]
 [10 41]]"
8,"[[21 19]
 [ 9 42]]","[[27 13]
 [10 41]]","[[30 10]
 [ 9 42]]","[[27 13]
 [ 7 44]]","[[28 12]
 [14 37]]","[[26 14]
 [10 41]]","[[24 16]
 [ 9 42]]","[[21 19]
 [11 40]]","[[28 12]
 [ 6 45]]"
9,"[[26 14]
 [ 7 44]]","[[25 15]
 [ 8 43]]","[[27 13]
 [ 8 43]]","[[28 12]
 [ 6 45]]","[[25 15]
 [19 32]]","[[30 10]
 [10 41]]","[[27 13]
 [10 41]]","[[21 19]
 [ 9 42]]","[[28 12]
 [11 40]]"
