,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[26 14]
 [13 38]]","[[29 11]
 [11 40]]","[[28 12]
 [12 39]]","[[30 10]
 [11 40]]","[[29 11]
 [14 37]]","[[28 12]
 [10 41]]","[[26 14]
 [14 37]]","[[19 21]
 [10 41]]","[[30 10]
 [11 40]]"
1,"[[27 13]
 [ 9 42]]","[[32  8]
 [ 5 46]]","[[32  8]
 [10 41]]","[[33  7]
 [12 39]]","[[34  6]
 [25 26]]","[[32  8]
 [11 40]]","[[30 10]
 [10 41]]","[[24 16]
 [ 9 42]]","[[31  9]
 [ 7 44]]"
2,"[[24 16]
 [12 39]]","[[28 12]
 [11 40]]","[[28 12]
 [11 40]]","[[26 14]
 [10 41]]","[[23 17]
 [15 36]]","[[25 15]
 [10 41]]","[[26 14]
 [11 40]]","[[18 22]
 [ 8 43]]","[[25 15]
 [11 40]]"
3,"[[20 20]
 [17 34]]","[[20 20]
 [10 41]]","[[27 13]
 [11 40]]","[[28 12]
 [13 38]]","[[25 15]
 [13 38]]","[[28 12]
 [16 35]]","[[27 13]
 [15 36]]","[[20 20]
 [12 39]]","[[29 11]
 [14 37]]"
4,"[[20 20]
 [12 39]]","[[24 16]
 [13 38]]","[[24 16]
 [13 38]]","[[24 16]
 [11 40]]","[[26 14]
 [17 34]]","[[29 11]
 [15 36]]","[[24 16]
 [13 38]]","[[28 12]
 [14 37]]","[[26 14]
 [13 38]]"
5,"[[22 18]
 [20 31]]","[[27 13]
 [14 37]]","[[32  8]
 [19 32]]","[[29 11]
 [17 34]]","[[18 22]
 [14 37]]","[[26 14]
 [17 34]]","[[26 14]
 [15 36]]","[[17 23]
 [19 32]]","[[27 13]
 [15 36]]"
6,"[[27 13]
 [ 9 42]]","[[32  8]
 [ 5 46]]","[[32  8]
 [10 41]]","[[33  7]
 [12 39]]","[[34  6]
 [25 26]]","[[32  8]
 [10 41]]","[[30 10]
 [10 41]]","[[24 16]
 [ 9 42]]","[[31  9]
 [ 7 44]]"
7,"[[25 15]
 [11 40]]","[[31  9]
 [13 38]]","[[29 11]
 [12 39]]","[[30 10]
 [13 38]]","[[30 10]
 [23 28]]","[[29 11]
 [12 39]]","[[27 13]
 [15 36]]","[[23 17]
 [10 41]]","[[29 11]
 [18 33]]"
8,"[[28 12]
 [ 9 42]]","[[36  4]
 [11 40]]","[[34  6]
 [ 8 43]]","[[33  7]
 [ 7 44]]","[[33  7]
 [18 33]]","[[31  9]
 [13 38]]","[[30 10]
 [ 9 42]]","[[27 13]
 [13 38]]","[[29 11]
 [11 40]]"
9,"[[29 11]
 [14 37]]","[[31  9]
 [ 9 42]]","[[31  9]
 [14 37]]","[[32  8]
 [15 36]]","[[24 16]
 [18 33]]","[[32  8]
 [16 35]]","[[27 13]
 [13 38]]","[[25 15]
 [19 32]]","[[32  8]
 [14 37]]"
