,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[30 10]
 [14 37]]","[[30 10]
 [ 9 42]]","[[27 13]
 [ 7 44]]","[[27 13]
 [ 5 46]]","[[25 15]
 [14 37]]","[[27 13]
 [12 39]]","[[26 14]
 [ 9 42]]","[[28 12]
 [11 40]]","[[26 14]
 [ 8 43]]"
1,"[[26 14]
 [15 36]]","[[30 10]
 [11 40]]","[[32  8]
 [ 9 42]]","[[25 15]
 [11 40]]","[[18 22]
 [12 39]]","[[30 10]
 [15 36]]","[[29 11]
 [13 38]]","[[26 14]
 [13 38]]","[[27 13]
 [13 38]]"
2,"[[27 13]
 [ 8 43]]","[[30 10]
 [ 9 42]]","[[28 12]
 [ 8 43]]","[[28 12]
 [ 6 45]]","[[21 19]
 [10 41]]","[[32  8]
 [12 39]]","[[25 15]
 [ 9 42]]","[[26 14]
 [ 8 43]]","[[30 10]
 [ 8 43]]"
3,"[[25 15]
 [10 41]]","[[29 11]
 [12 39]]","[[29 11]
 [11 40]]","[[28 12]
 [ 8 43]]","[[39  1]
 [19 32]]","[[30 10]
 [ 9 42]]","[[31  9]
 [ 9 42]]","[[30 10]
 [ 9 42]]","[[28 12]
 [ 9 42]]"
4,"[[18 22]
 [11 40]]","[[24 16]
 [ 7 44]]","[[27 13]
 [ 9 42]]","[[20 20]
 [ 9 42]]","[[19 21]
 [15 36]]","[[23 17]
 [11 40]]","[[21 19]
 [12 39]]","[[25 15]
 [12 39]]","[[17 23]
 [10 41]]"
5,"[[27 13]
 [13 38]]","[[18 22]
 [ 8 43]]","[[24 16]
 [11 40]]","[[30 10]
 [ 5 46]]","[[25 15]
 [13 38]]","[[30 10]
 [10 41]]","[[28 12]
 [ 8 43]]","[[26 14]
 [11 40]]","[[24 16]
 [ 9 42]]"
6,"[[26 14]
 [15 36]]","[[30 10]
 [11 40]]","[[32  8]
 [ 9 42]]","[[25 15]
 [11 40]]","[[18 22]
 [12 39]]","[[29 11]
 [14 37]]","[[29 11]
 [13 38]]","[[26 14]
 [13 38]]","[[27 13]
 [13 38]]"
7,"[[26 14]
 [12 39]]","[[31  9]
 [11 40]]","[[26 14]
 [ 8 43]]","[[25 15]
 [ 8 43]]","[[27 13]
 [ 8 43]]","[[28 12]
 [11 40]]","[[26 14]
 [10 41]]","[[29 11]
 [13 38]]","[[31  9]
 [ 8 43]]"
8,"[[26 14]
 [14 37]]","[[28 12]
 [13 38]]","[[28 12]
 [12 39]]","[[32  8]
 [12 39]]","[[21 19]
 [ 8 43]]","[[29 11]
 [16 35]]","[[28 12]
 [12 39]]","[[28 12]
 [13 38]]","[[27 13]
 [17 34]]"
9,"[[24 16]
 [ 8 43]]","[[26 14]
 [ 8 43]]","[[27 13]
 [ 8 43]]","[[24 16]
 [ 7 44]]","[[37  3]
 [24 27]]","[[31  9]
 [12 39]]","[[31  9]
 [ 8 43]]","[[28 12]
 [15 36]]","[[28 12]
 [10 41]]"
