,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[22 18]
 [ 5 46]]","[[20 20]
 [ 5 46]]","[[28 12]
 [ 7 44]]","[[24 16]
 [ 4 47]]","[[30 10]
 [11 40]]","[[27 13]
 [ 9 42]]","[[26 14]
 [ 9 42]]","[[15 25]
 [ 6 45]]","[[26 14]
 [ 8 43]]"
1,"[[28 12]
 [ 8 43]]","[[23 17]
 [ 6 45]]","[[25 15]
 [ 6 45]]","[[28 12]
 [ 6 45]]","[[27 13]
 [ 6 45]]","[[29 11]
 [ 6 45]]","[[30 10]
 [ 7 44]]","[[16 24]
 [ 6 45]]","[[29 11]
 [ 7 44]]"
2,"[[24 16]
 [ 5 46]]","[[18 22]
 [ 4 47]]","[[25 15]
 [ 4 47]]","[[27 13]
 [ 3 48]]","[[24 16]
 [ 6 45]]","[[27 13]
 [ 6 45]]","[[25 15]
 [ 3 48]]","[[17 23]
 [ 6 45]]","[[25 15]
 [ 6 45]]"
3,"[[25 15]
 [ 7 44]]","[[21 19]
 [ 6 45]]","[[26 14]
 [ 7 44]]","[[30 10]
 [ 5 46]]","[[27 13]
 [ 6 45]]","[[29 11]
 [ 5 46]]","[[26 14]
 [ 4 47]]","[[15 25]
 [ 7 44]]","[[28 12]
 [ 4 47]]"
4,"[[19 21]
 [ 8 43]]","[[18 22]
 [ 4 47]]","[[18 22]
 [ 4 47]]","[[19 21]
 [ 7 44]]","[[24 16]
 [ 7 44]]","[[23 17]
 [11 40]]","[[23 17]
 [13 38]]","[[23 17]
 [ 4 47]]","[[22 18]
 [ 9 42]]"
5,"[[25 15]
 [ 5 46]]","[[19 21]
 [ 5 46]]","[[28 12]
 [ 5 46]]","[[31  9]
 [ 5 46]]","[[32  8]
 [ 8 43]]","[[23 17]
 [ 7 44]]","[[28 12]
 [ 7 44]]","[[17 23]
 [ 9 42]]","[[29 11]
 [ 5 46]]"
6,"[[28 12]
 [ 8 43]]","[[23 17]
 [ 6 45]]","[[25 15]
 [ 6 45]]","[[28 12]
 [ 6 45]]","[[27 13]
 [ 6 45]]","[[29 11]
 [ 6 45]]","[[30 10]
 [ 7 44]]","[[16 24]
 [ 6 45]]","[[29 11]
 [ 7 44]]"
7,"[[26 14]
 [ 7 44]]","[[17 23]
 [ 6 45]]","[[27 13]
 [ 7 44]]","[[26 14]
 [ 7 44]]","[[22 18]
 [ 6 45]]","[[26 14]
 [ 6 45]]","[[21 19]
 [ 7 44]]","[[15 25]
 [ 6 45]]","[[23 17]
 [ 7 44]]"
8,"[[24 16]
 [ 8 43]]","[[25 15]
 [ 6 45]]","[[26 14]
 [ 7 44]]","[[29 11]
 [ 9 42]]","[[29 11]
 [14 37]]","[[29 11]
 [12 39]]","[[28 12]
 [ 7 44]]","[[24 16]
 [ 6 45]]","[[26 14]
 [12 39]]"
9,"[[26 14]
 [ 9 42]]","[[24 16]
 [ 7 44]]","[[25 15]
 [ 8 43]]","[[28 12]
 [ 9 42]]","[[24 16]
 [ 8 43]]","[[27 13]
 [ 8 43]]","[[25 15]
 [13 38]]","[[26 14]
 [ 7 44]]","[[25 15]
 [ 9 42]]"
