,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[25 15]
 [11 40]]","[[30 10]
 [10 41]]","[[34  6]
 [ 7 44]]","[[30 10]
 [ 9 42]]","[[31  9]
 [18 33]]","[[33  7]
 [13 38]]","[[29 11]
 [10 41]]","[[23 17]
 [ 8 43]]","[[33  7]
 [13 38]]"
1,"[[24 16]
 [ 7 44]]","[[28 12]
 [ 4 47]]","[[32  8]
 [ 7 44]]","[[32  8]
 [ 5 46]]","[[34  6]
 [22 29]]","[[33  7]
 [11 40]]","[[28 12]
 [11 40]]","[[24 16]
 [10 41]]","[[31  9]
 [ 8 43]]"
2,"[[25 15]
 [ 8 43]]","[[30 10]
 [ 7 44]]","[[32  8]
 [ 6 45]]","[[32  8]
 [ 9 42]]","[[23 17]
 [ 7 44]]","[[31  9]
 [ 8 43]]","[[29 11]
 [11 40]]","[[23 17]
 [ 7 44]]","[[30 10]
 [ 8 43]]"
3,"[[25 15]
 [11 40]]","[[26 14]
 [ 6 45]]","[[32  8]
 [ 9 42]]","[[29 11]
 [ 6 45]]","[[33  7]
 [15 36]]","[[28 12]
 [ 8 43]]","[[27 13]
 [ 7 44]]","[[14 26]
 [ 8 43]]","[[27 13]
 [ 7 44]]"
4,"[[19 21]
 [ 8 43]]","[[23 17]
 [ 7 44]]","[[24 16]
 [ 5 46]]","[[23 17]
 [ 5 46]]","[[21 19]
 [15 36]]","[[23 17]
 [ 5 46]]","[[27 13]
 [11 40]]","[[25 15]
 [10 41]]","[[23 17]
 [ 7 44]]"
5,"[[23 17]
 [ 8 43]]","[[14 26]
 [ 4 47]]","[[18 22]
 [ 6 45]]","[[21 19]
 [ 4 47]]","[[25 15]
 [16 35]]","[[26 14]
 [ 5 46]]","[[22 18]
 [10 41]]","[[16 24]
 [11 40]]","[[23 17]
 [ 4 47]]"
6,"[[24 16]
 [ 7 44]]","[[28 12]
 [ 4 47]]","[[32  8]
 [ 7 44]]","[[32  8]
 [ 5 46]]","[[34  6]
 [22 29]]","[[33  7]
 [11 40]]","[[28 12]
 [11 40]]","[[24 16]
 [10 41]]","[[31  9]
 [ 8 43]]"
7,"[[24 16]
 [12 39]]","[[32  8]
 [ 7 44]]","[[32  8]
 [11 40]]","[[32  8]
 [ 8 43]]","[[27 13]
 [12 39]]","[[32  8]
 [10 41]]","[[27 13]
 [ 9 42]]","[[26 14]
 [10 41]]","[[32  8]
 [12 39]]"
8,"[[24 16]
 [ 8 43]]","[[25 15]
 [ 9 42]]","[[30 10]
 [ 7 44]]","[[28 12]
 [ 7 44]]","[[26 14]
 [16 35]]","[[28 12]
 [ 5 46]]","[[23 17]
 [10 41]]","[[27 13]
 [ 8 43]]","[[25 15]
 [ 9 42]]"
9,"[[23 17]
 [ 8 43]]","[[26 14]
 [ 8 43]]","[[28 12]
 [ 8 43]]","[[28 12]
 [ 5 46]]","[[33  7]
 [22 29]]","[[27 13]
 [10 41]]","[[30 10]
 [12 39]]","[[25 15]
 [10 41]]","[[26 14]
 [ 7 44]]"
