,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[19 21]
 [12 39]]","[[23 17]
 [ 7 44]]","[[30 10]
 [10 41]]","[[24 16]
 [14 37]]","[[33  7]
 [19 32]]","[[22 18]
 [11 40]]","[[21 19]
 [ 8 43]]","[[26 14]
 [ 6 45]]","[[22 18]
 [13 38]]"
1,"[[24 16]
 [17 34]]","[[29 11]
 [ 8 43]]","[[31  9]
 [14 37]]","[[33  7]
 [12 39]]","[[26 14]
 [ 8 43]]","[[29 11]
 [14 37]]","[[32  8]
 [15 36]]","[[26 14]
 [ 6 45]]","[[33  7]
 [15 36]]"
2,"[[21 19]
 [10 41]]","[[25 15]
 [ 6 45]]","[[30 10]
 [12 39]]","[[28 12]
 [10 41]]","[[29 11]
 [11 40]]","[[23 17]
 [13 38]]","[[26 14]
 [12 39]]","[[26 14]
 [ 8 43]]","[[26 14]
 [16 35]]"
3,"[[24 16]
 [ 9 42]]","[[31  9]
 [ 6 45]]","[[24 16]
 [ 8 43]]","[[30 10]
 [ 8 43]]","[[36  4]
 [12 39]]","[[29 11]
 [11 40]]","[[31  9]
 [ 9 42]]","[[29 11]
 [ 7 44]]","[[31  9]
 [15 36]]"
4,"[[17 23]
 [ 8 43]]","[[17 23]
 [10 41]]","[[17 23]
 [ 8 43]]","[[15 25]
 [ 7 44]]","[[18 22]
 [19 32]]","[[16 24]
 [11 40]]","[[18 22]
 [11 40]]","[[20 20]
 [14 37]]","[[21 19]
 [10 41]]"
5,"[[23 17]
 [12 39]]","[[29 11]
 [ 6 45]]","[[26 14]
 [ 8 43]]","[[30 10]
 [11 40]]","[[29 11]
 [ 9 42]]","[[28 12]
 [ 9 42]]","[[29 11]
 [ 7 44]]","[[30 10]
 [ 7 44]]","[[24 16]
 [10 41]]"
6,"[[24 16]
 [17 34]]","[[29 11]
 [ 8 43]]","[[31  9]
 [14 37]]","[[33  7]
 [12 39]]","[[26 14]
 [ 8 43]]","[[28 12]
 [13 38]]","[[32  8]
 [15 36]]","[[26 14]
 [ 6 45]]","[[33  7]
 [15 36]]"
7,"[[26 14]
 [14 37]]","[[26 14]
 [ 6 45]]","[[29 11]
 [12 39]]","[[27 13]
 [13 38]]","[[29 11]
 [11 40]]","[[28 12]
 [14 37]]","[[30 10]
 [14 37]]","[[26 14]
 [ 6 45]]","[[26 14]
 [13 38]]"
8,"[[21 19]
 [11 40]]","[[20 20]
 [ 7 44]]","[[19 21]
 [ 7 44]]","[[23 17]
 [11 40]]","[[30 10]
 [16 35]]","[[23 17]
 [16 35]]","[[22 18]
 [ 8 43]]","[[21 19]
 [ 8 43]]","[[22 18]
 [14 37]]"
9,"[[18 22]
 [ 8 43]]","[[23 17]
 [ 5 46]]","[[24 16]
 [ 8 43]]","[[24 16]
 [ 6 45]]","[[27 13]
 [12 39]]","[[22 18]
 [13 38]]","[[23 17]
 [10 41]]","[[24 16]
 [ 6 45]]","[[22 18]
 [ 9 42]]"
