,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[32  8]
 [11 40]]","[[29 11]
 [ 9 42]]","[[30 10]
 [ 9 42]]","[[28 12]
 [ 6 45]]","[[24 16]
 [13 38]]","[[30 10]
 [ 9 42]]","[[28 12]
 [10 41]]","[[28 12]
 [10 41]]","[[29 11]
 [ 7 44]]"
1,"[[30 10]
 [13 38]]","[[29 11]
 [12 39]]","[[29 11]
 [11 40]]","[[30 10]
 [10 41]]","[[26 14]
 [27 24]]","[[28 12]
 [14 37]]","[[25 15]
 [12 39]]","[[26 14]
 [12 39]]","[[27 13]
 [11 40]]"
2,"[[31  9]
 [10 41]]","[[30 10]
 [ 7 44]]","[[29 11]
 [ 9 42]]","[[28 12]
 [ 6 45]]","[[23 17]
 [10 41]]","[[29 11]
 [12 39]]","[[26 14]
 [ 9 42]]","[[27 13]
 [ 9 42]]","[[28 12]
 [12 39]]"
3,"[[21 19]
 [10 41]]","[[28 12]
 [10 41]]","[[30 10]
 [ 8 43]]","[[28 12]
 [ 7 44]]","[[35  5]
 [12 39]]","[[27 13]
 [11 40]]","[[27 13]
 [10 41]]","[[30 10]
 [ 9 42]]","[[26 14]
 [10 41]]"
4,"[[23 17]
 [10 41]]","[[21 19]
 [ 6 45]]","[[28 12]
 [12 39]]","[[20 20]
 [10 41]]","[[31  9]
 [26 25]]","[[24 16]
 [ 8 43]]","[[25 15]
 [14 37]]","[[26 14]
 [12 39]]","[[25 15]
 [13 38]]"
5,"[[29 11]
 [12 39]]","[[16 24]
 [ 7 44]]","[[23 17]
 [10 41]]","[[29 11]
 [ 6 45]]","[[34  6]
 [18 33]]","[[29 11]
 [13 38]]","[[25 15]
 [12 39]]","[[27 13]
 [11 40]]","[[29 11]
 [15 36]]"
6,"[[30 10]
 [13 38]]","[[29 11]
 [12 39]]","[[29 11]
 [11 40]]","[[30 10]
 [10 41]]","[[26 14]
 [27 24]]","[[29 11]
 [14 37]]","[[25 15]
 [12 39]]","[[26 14]
 [12 39]]","[[27 13]
 [11 40]]"
7,"[[27 13]
 [13 38]]","[[31  9]
 [10 41]]","[[28 12]
 [ 9 42]]","[[28 12]
 [ 8 43]]","[[28 12]
 [14 37]]","[[30 10]
 [ 8 43]]","[[29 11]
 [11 40]]","[[29 11]
 [13 38]]","[[30 10]
 [ 7 44]]"
8,"[[29 11]
 [12 39]]","[[30 10]
 [11 40]]","[[26 14]
 [10 41]]","[[30 10]
 [11 40]]","[[30 10]
 [11 40]]","[[29 11]
 [15 36]]","[[25 15]
 [17 34]]","[[28 12]
 [13 38]]","[[28 12]
 [13 38]]"
9,"[[24 16]
 [ 5 46]]","[[28 12]
 [ 7 44]]","[[28 12]
 [12 39]]","[[27 13]
 [ 7 44]]","[[36  4]
 [27 24]]","[[28 12]
 [11 40]]","[[25 15]
 [14 37]]","[[27 13]
 [14 37]]","[[28 12]
 [13 38]]"
